Vellore	Tamil Nadu	Kingston Engineering College, Chithoor Main Road
Coimbatore	Tamil Nadu	KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam
Salem	Tamil Nadu	Knowledge Institute of Technology, KIOT Campus
Erode	Tamil Nadu	Kongu Engineering College (Autonomous), Perundurai
Tiruchirappalli	Tamil Nadu	Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti
Cuddalore	Tamil Nadu	Krishnasamy College of Engineering and Technology, S Kumarapuram
Coimbatore	Tamil Nadu	Kumaraguru College of Technology (Autonomous), Chinnavedampatti
Tiruchirappalli	Tamil Nadu	Kurinji College of Engineering and Technology, Manapparai
Madurai	Tamil Nadu	Latha Mathavan Engineering College, Kidaripatti
Kanyakumari	Tamil Nadu	Lord Jegannath College of Engineering and Technology, Kumarapuram
Kancheepuram	Tamil Nadu	Lord Venkateshwaraa Engineering College, Walajabad
Kanyakumari	Tamil Nadu	Lourdes Mount College of Engineering and Technology, Marthandam-Karungal Road
Chennai	Tamil Nadu	Loyola ICAM College of Engineering and Technology, Loyola College Campus
Kanyakumari	Tamil Nadu	Loyola Institute of Technology and Science, Loyola Nagar
Chennai	Tamil Nadu	Loyola Institute of Technology, Mevaloorkuppam
Kanyakumari	Tamil Nadu	M E T Engineering College, Mogals Garden
Tiruchirappalli	Tamil Nadu	M I E T Engineering College, Tiruchirappalli-Pudukkottai Road
Karur	Tamil Nadu	M Kumarasamy College of Engineering (Autonomous), Thalavapalayam
Pudukkottai	Tamil Nadu	M N S K College of Engineering, Vallathirakkottai
Erode	Tamil Nadu	M P Nachimuthu M Jaganathan Engineering College, Chennimalai
Cuddalore	Tamil Nadu	M R K Institute of Technology, Nattarmangalam Village
Tiruchirappalli	Tamil Nadu	M.A.M. College of Engineering and Technology, Tiruchirappalli-Chennai Trunk Road
Tiruchirappalli	Tamil Nadu	M.A.M. College of Engineering, Siruganur
Tiruchirappalli	Tamil Nadu	M.A.M. School of Engineering, Siruganur
Chennai	Tamil Nadu	Madha Engineering College, Kundrathur
Chennai	Tamil Nadu	Madha Institute of Engineering and Technology, Erandamkattalai Village
Sivaganga	Tamil Nadu	Madurai Institute of Engineering and Technology, Pottapalayam Village
Salem	Tamil Nadu	Maha Bharathi Engineering College, A Vasudevanur
Tenkasi	Tamil Nadu	Mahakavi Bharathiyar College of Engineering and Technology, Vasudevanallur
Tiruchirappalli	Tamil Nadu	Mahalakshmi Engineering College, Tiruchirappalli-Salem Highways
Pudukkottai	Tamil Nadu	Mahath Amma Institute of Engineering and Technology (MIET), Ariyur
Salem	Tamil Nadu	Mahendra College of Engineering, Attur Road
Namakkal	Tamil Nadu	Mahendra Engineering College (Autonomous), Mahendhirapuri
Namakkal	Tamil Nadu	Mahendra Engineering College for Women, Kumaramangalam
Namakkal	Tamil Nadu	Mahendra Institute of Engineering and Technology, Mahendrapuri
Namakkal	Tamil Nadu	Mahendra Institute of Technology (Autonomous), Mahendhirapuri
Viluppuram	Tamil Nadu	Mailam Engineering College, Mailam
Madurai	Tamil Nadu	Mangayarkarasi College of Engineering, First Street
Kanyakumari	Tamil Nadu	MAR Ephraem College of Engineering & Technology, Malankara Hills
Kanyakumari	Tamil Nadu	Maria College of Engineering and Technology, Attoor Puliyamoodu Junction
Kanyakumari	Tamil Nadu	Marthandam College of Engineering & Technology, Kuttakuzhi
Chennai	Tamil Nadu	Meenakshi College of Engineering, Vembuliamman Koil Street
Tiruchirappalli	Tamil Nadu	Meenakshi Ramaswamy Engineering College, Tiruchirappalli Main Road
Chennai	Tamil Nadu	Meenakshi Sundararajan Engineering College, Kodambakkam
Virudhunagar	Tamil Nadu	Mepco Schlenk Engineering College (Autonomous)
Chennai	Tamil Nadu	Misrimal Navajee Munoth Jain Engineering College, Rajiv Gandhi Salai (OMR)
Ramanathapuram	Tamil Nadu	Mohamed Sathak Engineering College, Kilakarai
